Filter 	PHOTPLAM 	PHOTBW 	ABMAG 	VEGAMAG 	STMAG 	ERROR 	PHOTFLAM 	ERR_PHOTFLAM
F098M 	9864.72 	500.85 	25.666 	25.090 	26.945 	0.008 	6.0653E-20 	4.3288E-22
F105W 	10551.05 	845.62 	26.264 	25.603 	27.688 	0.005 	3.0507E-20 	1.4230E-22
F110W 	11534.46 	1428.48 	26.819 	26.042 	28.436 	0.005 	1.5318E-20 	6.5390E-23
F125W 	12486.06 	866.28 	26.232 	25.312 	28.022 	0.008 	2.2446E-20 	1.6252E-22
F126N 	12584.89 	339.31 	22.849 	21.908 	24.656 	0.008 	4.9671E-19 	3.6832E-21
F127M 	12740.29 	249.56 	24.625 	23.643 	26.458 	0.012 	9.4524E-20 	1.0141E-21
F128N 	12831.84 	357.44 	22.956 	21.898 	24.806 	0.008 	4.3480E-19 	2.9263E-21
F130N 	13005.68 	274.24 	22.981 	21.985 	24.860 	0.008 	4.1416E-19 	2.5823E-21
F132N 	13187.71 	319.08 	22.933 	21.915 	24.841 	0.007 	4.2096E-19 	2.9310E-21
F139M 	13837.62 	278.02 	24.466 	23.366 	26.480 	0.004 	9.3134E-20 	3.2509E-22
F140W 	13922.91 	1132.38 	26.450 	25.353 	28.477 	0.007 	1.4759E-20 	9.1933E-23
F153M 	15322.05 	378.95 	24.447 	23.171 	26.682 	0.006 	7.7161E-20 	4.2952E-22
F160W 	15369.18 	826.25 	25.936 	24.662 	28.177 	0.009 	1.9429E-20 	1.5081E-22
F164N 	16403.51 	700.06 	22.892 	21.484 	25.275 	0.012 	2.8257E-19 	3.0682E-21
F167N 	16641.6 	645.24 	22.937 	21.550 	25.351 	0.010 	2.6215E-19 	2.8448E-21
