FILTER,WAVELENGTH,APER#0.04,APER#0.08,APER#0.12,APER#0.16,APER#0.20,APER#0.24,APER#0.28,APER#0.32,APER#0.36,APER#0.40,APER#0.44,APER#0.48,APER#0.51,APER#0.55,APER#0.59,APER#0.63,APER#0.67,APER#0.71,APER#0.75,APER#0.79,APER#0.83,APER#0.87,APER#0.91,APER#0.95,APER#0.99,APER#1.03,APER#1.07,APER#1.11,APER#1.15,APER#1.19,APER#1.23,APER#1.27,APER#1.31,APER#1.35,APER#1.39,APER#1.43,APER#1.47,APER#1.50,APER#1.54,APER#1.58,APER#1.62,APER#1.66,APER#1.70,APER#1.74,APER#1.78,APER#1.82,APER#1.86,APER#1.90,APER#1.94,APER#1.98,APER#6.0
FFFFF,2000.0000000000000,0.5713,0.6311,0.6845,0.7255,0.752,0.7757,0.7946,0.8086,0.8201,0.8312,0.8435,0.8558,0.8636,0.873,0.8817,0.8913,0.902,0.9129,0.9237,0.9337,0.9424,0.9499,0.9561,0.9614,0.966,0.9699,0.9733,0.9763,0.9788,0.981,0.9828,0.9843,0.9855,0.9865,0.9873,0.988,0.9886,0.989,0.9895,0.99,0.9904,0.9909,0.9913,0.9917,0.9921,0.9924,0.9928,0.9931,0.9935,0.9938,1.0
F218W,2228.039093789704,0.5872,0.647,0.7001,0.7405,0.766,0.7886,0.8063,0.8194,0.8305,0.841,0.8521,0.863,0.8699,0.8784,0.8863,0.8949,0.9044,0.914,0.9235,0.9324,0.9401,0.9468,0.9525,0.9575,0.9618,0.9656,0.9691,0.9722,0.9749,0.9773,0.9794,0.9813,0.9828,0.9842,0.9854,0.9865,0.9874,0.988,0.9887,0.9894,0.99,0.9906,0.9911,0.9915,0.9919,0.9922,0.9926,0.9929,0.9932,0.9934,1.0
F225W,2372.0530894272483,0.6031,0.6628,0.7157,0.7555,0.78,0.8015,0.818,0.8303,0.8409,0.8508,0.8607,0.8702,0.8762,0.8838,0.8909,0.8986,0.9069,0.9152,0.9234,0.931,0.9378,0.9438,0.9489,0.9535,0.9576,0.9614,0.9648,0.968,0.9709,0.9736,0.976,0.9782,0.9802,0.9819,0.9835,0.9849,0.9862,0.987,0.988,0.9889,0.9896,0.9903,0.9909,0.9913,0.9917,0.9921,0.9924,0.9926,0.9929,0.9931,1.0
F275W,2709.689000523749,0.173,0.4896,0.6728,0.7514,0.7933,0.8195,0.8369,0.8489,0.8578,0.8651,0.8713,0.8773,0.8818,0.8877,0.8933,0.8989,0.9046,0.9102,0.9158,0.9213,0.9265,0.9314,0.9361,0.9405,0.9446,0.9484,0.952,0.9552,0.9583,0.961,0.9635,0.9657,0.9677,0.9695,0.971,0.9724,0.9736,0.9744,0.9755,0.9764,0.9773,0.9781,0.9789,0.9796,0.9803,0.981,0.9816,0.9822,0.9828,0.9834,1.0
F300X,2820.4691550837847,0.25009,0.56409,0.71303,0.77627,0.8127,0.83525,0.84975,0.85969,0.8673,0.87353,0.87867,0.88369,0.88943,0.89538,0.90047,0.90538,0.91083,0.91634,0.92145,0.92622,0.93116,0.9365,0.94193,0.94644,0.95053,0.95396,0.9578,0.96172,0.96472,0.96723,0.96986,0.97223,0.97414,0.97607,0.97742,0.97964,0.98244,0.98493,0.98552,0.98612,0.98671,0.9873,0.9879,0.98849,0.98908,0.98968,0.99027,0.99087,0.99146,0.99205,1.0
F280N,2832.8623437473766,0.23605,0.54409,0.69894,0.76702,0.80575,0.82927,0.84458,0.85521,0.86346,0.87011,0.8761,0.88207,0.88812,0.89405,0.89993,0.90594,0.9118,0.91758,0.92331,0.92882,0.93416,0.93921,0.94384,0.94805,0.952,0.95575,0.95916,0.96226,0.96509,0.96769,0.97003,0.97209,0.97392,0.97558,0.97707,0.97982,0.98259,0.98505,0.98564,0.98622,0.98681,0.9874,0.98799,0.98858,0.98916,0.98975,0.99034,0.99093,0.99152,0.9921,1.0
F336W,3354.491818932838,0.20326,0.47639,0.66619,0.76547,0.81643,0.84505,0.86292,0.87483,0.88335,0.88984,0.89517,0.89962,0.90346,0.90706,0.9108,0.91461,0.91837,0.92196,0.92545,0.92896,0.9325,0.93602,0.93945,0.94278,0.94606,0.94932,0.95251,0.95559,0.95849,0.96122,0.96381,0.9663,0.96864,0.9708,0.97277,0.97518,0.97782,0.98022,0.98107,0.98193,0.98279,0.98365,0.98451,0.98537,0.98623,0.98709,0.98795,0.98881,0.98966,0.99052,1.0
F343N,3435.151364948761,0.26347,0.58688,0.73489,0.79309,0.82759,0.85132,0.86824,0.8793,0.88735,0.89345,0.89848,0.90261,0.90597,0.90899,0.91209,0.91552,0.91937,0.92299,0.92621,0.92941,0.9328,0.93641,0.93953,0.94256,0.94547,0.94837,0.95145,0.95448,0.9576,0.9604,0.96305,0.96542,0.96785,0.97009,0.97218,0.97445,0.97701,0.97934,0.98025,0.98116,0.98207,0.98298,0.98389,0.9848,0.98571,0.98662,0.98753,0.98844,0.98935,0.99026,1.0
F373N,3730.170130723572,0.28564,0.61074,0.75102,0.80354,0.83574,0.85825,0.87567,0.88636,0.8939,0.89988,0.90449,0.90911,0.91337,0.91654,0.91862,0.92095,0.92401,0.92708,0.9302,0.93243,0.9345,0.93731,0.94032,0.94312,0.94625,0.94939,0.95306,0.9564,0.95839,0.96006,0.96236,0.96449,0.96698,0.96873,0.97031,0.97177,0.97403,0.97612,0.97722,0.97832,0.97941,0.98051,0.98161,0.9827,0.9838,0.9849,0.98599,0.98709,0.98819,0.98928,1.0
F390M,3897.244206925228,0.27534,0.60157,0.74531,0.79853,0.83088,0.85353,0.87048,0.88262,0.89121,0.89763,0.90248,0.90689,0.91115,0.91427,0.91696,0.91955,0.92237,0.92545,0.92862,0.93173,0.93446,0.93715,0.93961,0.94229,0.94537,0.94816,0.95068,0.95283,0.9549,0.95706,0.95901,0.96175,0.96406,0.96628,0.96855,0.97025,0.97234,0.9743,0.9755,0.97671,0.97791,0.97911,0.98031,0.98152,0.98272,0.98392,0.98512,0.98633,0.98753,0.98873,1.0
